1.4305 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.6576 	DATA 	Keypress: space
14.6586 	EXP 	MWdefInstr: autoDraw = False
14.6586 	EXP 	MWdefInstr: image = 'InstrSlides/PC_s5.png'
14.6586 	EXP 	MWdefInstr: autoDraw = True
15.1835 	DATA 	Keypress: space
15.1880 	EXP 	MWdefInstr: autoDraw = False
15.1880 	EXP 	text: autoDraw = True
17.7332 	DATA 	Keypress: space
17.7388 	EXP 	text: autoDraw = False
17.7388 	EXP 	NoSkipping: autoDraw = True
21.6958 	DATA 	Keypress: space
21.7051 	EXP 	Imported LifePages.csv as conditions, 17 conditions, 1 params
21.7054 	EXP 	Created sequence: sequential, trialTypes=17, nReps=1, seed=None
21.7055 	EXP 	New trial (rep=0, index=0): OrderedDict([('ChPage', 'images/21.1.png')])
21.7446 	EXP 	NoSkipping: autoDraw = False
21.7446 	EXP 	imagePages: image = 'images/21.1.png'
21.7446 	EXP 	imagePages: autoDraw = True
21.7446 	EXP 	PCProbe: autoDraw = True
21.7446 	EXP 	PCProbe: texRes = 128.0
21.7446 	EXP 	SCProbe: autoDraw = True
21.7446 	EXP 	SCProbe: texRes = 128
21.7525 	EXP 	PCProbe: texRes = 128.0
21.7525 	EXP 	SCProbe: texRes = 128
21.7605 	EXP 	PCProbe: texRes = 128.0
21.7605 	EXP 	SCProbe: texRes = 128
21.7681 	EXP 	PCProbe: texRes = 128.0
21.7681 	EXP 	SCProbe: texRes = 128
21.7759 	EXP 	PCProbe: texRes = 128.0
21.7759 	EXP 	SCProbe: texRes = 128
21.7839 	EXP 	PCProbe: texRes = 128.0
21.7839 	EXP 	SCProbe: texRes = 128
21.7923 	EXP 	PCProbe: texRes = 128.0
21.7923 	EXP 	SCProbe: texRes = 128
21.8009 	EXP 	PCProbe: texRes = 128.0
21.8009 	EXP 	SCProbe: texRes = 128
21.8115 	EXP 	PCProbe: texRes = 128.0
21.8115 	EXP 	SCProbe: texRes = 128
21.8190 	EXP 	PCProbe: texRes = 128.0
21.8190 	EXP 	SCProbe: texRes = 128
21.8266 	EXP 	PCProbe: texRes = 128.0
21.8266 	EXP 	SCProbe: texRes = 128
21.8341 	EXP 	PCProbe: texRes = 128.0
21.8341 	EXP 	SCProbe: texRes = 128
21.8419 	EXP 	PCProbe: texRes = 128.0
21.8419 	EXP 	SCProbe: texRes = 128
21.8495 	EXP 	PCProbe: texRes = 128.0
21.8495 	EXP 	SCProbe: texRes = 128
21.8574 	EXP 	PCProbe: texRes = 128.0
21.8574 	EXP 	SCProbe: texRes = 128
21.8654 	EXP 	PCProbe: texRes = 128.0
21.8654 	EXP 	SCProbe: texRes = 128
21.8732 	EXP 	PCProbe: texRes = 128.0
21.8732 	EXP 	SCProbe: texRes = 128
21.8806 	EXP 	PCProbe: texRes = 128.0
21.8806 	EXP 	SCProbe: texRes = 128
21.8881 	EXP 	PCProbe: texRes = 128.0
21.8881 	EXP 	SCProbe: texRes = 128
21.8956 	EXP 	PCProbe: texRes = 128.0
21.8956 	EXP 	SCProbe: texRes = 128
21.9039 	EXP 	PCProbe: texRes = 128.0
21.9039 	EXP 	SCProbe: texRes = 128
21.9117 	EXP 	PCProbe: texRes = 128.0
21.9117 	EXP 	SCProbe: texRes = 128
21.9199 	EXP 	PCProbe: texRes = 128.0
21.9199 	EXP 	SCProbe: texRes = 128
21.9280 	EXP 	PCProbe: texRes = 128.0
21.9280 	EXP 	SCProbe: texRes = 128
21.9369 	EXP 	PCProbe: texRes = 128.0
21.9369 	EXP 	SCProbe: texRes = 128
21.9452 	EXP 	PCProbe: texRes = 128.0
21.9452 	EXP 	SCProbe: texRes = 128
21.9534 	EXP 	PCProbe: texRes = 128.0
21.9534 	EXP 	SCProbe: texRes = 128
21.9618 	EXP 	PCProbe: texRes = 128.0
21.9618 	EXP 	SCProbe: texRes = 128
21.9703 	EXP 	PCProbe: texRes = 128.0
