chDemoQs,chAQ10,Q_stim,chInstrSlide,ChPage,Demographic_Loop.thisRepN,Demographic_Loop.thisTrialN,Demographic_Loop.thisN,Demographic_Loop.thisIndex,AQ_Loop.thisRepN,AQ_Loop.thisTrialN,AQ_Loop.thisN,AQ_Loop.thisIndex,Q_trials.thisRepN,Q_trials.thisTrialN,Q_trials.thisN,Q_trials.thisIndex,MWdefinitions.thisRepN,MWdefinitions.thisTrialN,MWdefinitions.thisN,MWdefinitions.thisIndex,ReadingLoop.thisRepN,ReadingLoop.thisTrialN,ReadingLoop.thisN,ReadingLoop.thisIndex,Welcome_text.started,Welcome_text_resp.started,Welcome_text_resp.keys,Welcome_text_resp.rt,DemoQs.started,DemographicQs_resp.started,DemographicQs_resp.keys,DemographicQs_resp.rt,textInterval.started,textInterval.stopped,text_4.started,Age_resp.started,AgeQuestion_textbox.text,Age_resp.keys,Age_resp.rt,text_3.started,AQintro_key_resp.started,AQintro_key_resp.keys,AQintro_key_resp.rt,AQ_10.started,AQ_key_resp.started,AQ_key_resp.keys,AQ_key_resp.rt,text_2.started,text_2.stopped,adhdQ.started,key_QA.started,key_QA.keys,key_QA.rt,key_AlwaysResp.started,key_AlwaysResp.keys,key_AlwaysResp.rt,adhdDxQ.started,key_Dx.started,key_Dx.keys,key_Dx.rt,MWdefInstr.started,MWdefInstr_key_resp.started,text.started,IntroExp_key_resp.started,IntroExp_key_resp.keys,IntroExp_key_resp.rt,NoSkipping.started,key_Skip.keys,key_Skip.rt,etRecord_START.started,etRecord_START.stopped,Reading_key_resp.started,imagePages.started,PCProbe.started,SCProbe.started,Reading_key_resp.keys,Reading_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,AQ_10_Qs/AQ6.png,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15559889999986,49.15559889999986,2,0.49213070000041625,49.67137120000007,50.172342100000606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ7.png,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.172342100000606,50.172342100000606,3,0.3630790999995952,50.5548447000001,51.05631360000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ8.png,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05631360000007,51.05631360000007,2,0.3429968000000372,51.42140040000049,51.92232460000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ9.png,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.92232460000014,51.92232460000014,3,0.2930796000000555,52.238292200000615,52.739011100000425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ10.png,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.739011100000425,52.739011100000425,3,0.6837626000005912,53.43831930000033,53.9546964000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,"Do you often feel restless? (e.g., being nervous, having difficulty sitting still, fidgeting, doing a lot of exercise, or being active)",,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.55476230000022,57.055193000000145,53.9546964000001,53.9546964000001,1,0.9657068999995317,55.438633599999775,1,1.0882817000001523,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,"Do you often act first and then think? (e.g., blurting things out, spending too much money, or being impatient)",,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62148400000024,59.12162350000017,57.055193000000145,57.055193000000145,1,0.623930400000063,58.205046400000356,1,0.38591099999939615,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,"Do you often have concentration problems? (e.g., being easily distracted, not finishing things, being easily bored, forgetful, or chaotic)",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.421506300000146,60.921758299999965,59.12162350000017,59.12162350000017,1,0.32549180000023625,59.97195269999975,1,0.41872799999964627,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.921758299999965,60.921758299999965,1,0.42073749999963184,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,InstrSlides/SC_s1.png,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,61.37147019999975,62.40534329999991,,,,,,,,,,,,,,,,,,,,,,,,,,,62.40534329999991,0.034558499999548076,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,InstrSlides/SC_s2.png,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.65558659999988,0.008867900000041118,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,InstrSlides/SC_s3.png,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.30555270000059,0.00867759999982809,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,InstrSlides/SC_s4.png,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.79039929999999,0.008248499999353953,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,InstrSlides/SC_s5.png,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.22297340000023,0.011428699999669334,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.68824889999996,65.68824889999996,space,1.0560618999998042,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77145010000004,space,0.8674424000000727,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,images/21.1.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996038000008411,0.9996038000008411,68.70576290000008,68.70576290000008,68.70576290000008,68.70576290000008,space,71.14126570000008,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9068010000001,139.9068010000001,139.9068010000001,139.9068010000001,,,,,,,,,
